embeddings2d_x,embeddings2d_y,label_idx,label_string,url,noisy_label_idx,noisy_label_string,inclusion_prob,exclusion_prob
-18.800838,-12.3843355,6,frog,frog/0000,6,frog,,
77.41423,-9.654644,9,truck,truck/0000,9,truck,,
44.232937,1.1097302,9,truck,truck/0001,9,truck,,
-36.738323,35.24822,4,deer,deer/0000,4,deer,,
49.802044,-63.405376,1,automobile,automobile/0000,1,automobile,,
43.003586,-46.741993,1,automobile,automobile/0001,1,automobile,,
-14.388429,50.79426,2,bird,bird/0000,2,bird,0.9768785834312439,0.976190447807312
-34.925953,78.44192,7,horse,horse/0000,7,horse,,
36.248966,21.182192,8,ship,ship/0000,8,ship,,
-46.392323,-35.58562,3,cat,cat/0000,3,cat,,
-24.361156,23.88498,4,deer,deer/0001,6,frog,0.4249291718006134,0.020408162847161293
-2.5551863,78.536476,7,horse,horse/0001,0,airplane,0.5718390941619873,0.017543859779834747
-27.531364,79.16263,7,horse,horse/0002,0,airplane,0.13089509308338165,0.004338394850492477
14.601254,46.295334,2,bird,bird/0001,2,bird,,
53.19145,-12.606702,9,truck,truck/0002,9,truck,,
70.51502,-3.071957,9,truck,truck/0003,9,truck,,
81.98316,1.3483182,9,truck,truck/0004,9,truck,,
-53.270462,-40.569008,3,cat,cat/0001,5,dog,0.8495660424232483,0.5248380303382874
16.488554,53.929237,2,bird,bird/0002,2,bird,,
-2.3956006,-17.88572,6,frog,frog/0001,6,frog,,
-74.05379,23.333008,4,deer,deer/0002,4,deer,,
-51.15258,-59.005787,3,cat,cat/0002,3,cat,,
3.2093365,25.39992,6,frog,frog/0002,6,frog,0.9990411996841431,0.9978117942810059
1.4655465,6.8716054,6,frog,frog/0003,6,frog,,
-14.571454,28.505808,2,bird,bird/0003,2,bird,,
6.3006735,-3.4996703,6,frog,frog/0004,6,frog,,
-51.435272,-45.77492,3,cat,cat/0003,3,cat,0.9924812316894531,0.9931192398071289
-79.249176,-11.212876,5,dog,dog/0000,5,dog,,
-56.900803,32.17598,4,deer,deer/0003,4,deer,0.9624413251876831,0.9241379499435425
5.367632,-28.29113,0,airplane,airplane/0000,0,airplane,,
9.372268,-12.240984,0,airplane,airplane/0001,0,airplane,,
73.497894,2.0166254,9,truck,truck/0005,9,truck,,
53.878437,-37.394695,1,automobile,automobile/0002,1,automobile,1.0,0.9977777600288391
-60.64285,-45.941273,3,cat,cat/0004,5,dog,0.6248830556869507,0.04872389882802963
-54.103546,29.977358,4,deer,deer/0004,4,deer,,
6.3462186,34.97045,0,airplane,airplane/0002,0,airplane,,
